checkpoint,dataset,samples,pearson_correlation,spearman_correlation,direction_correctness,mse,rmse,mae,r_squared,actual_mean,prediction_mean

1,current,10000,0.8145618057231854,0.8462446955301438,0.9375,159.49040211996544,12.628950950889209,8.49208966687038,0.6552795381193528,8.76205734458573,7.087920571322895

1,new_2026,12191,0.840248342719206,0.8809062869796617,0.967763103929128,168.16331576590562,12.967779908909066,6.989607442719924,0.676013279824949,0.052478661075624655,0.49455348961660517

2,current,10000,0.8765359191090494,0.8751154259625284,0.9522,107.21636638559934,10.354533615069263,7.3796109758904525,0.7682639528753072,8.76205734458573,8.884143579828411

2,new_2026,12191,0.8459764963815419,0.8860409762405969,0.9769502091706997,152.5217417338205,12.349969300926238,6.684434558862096,0.7061486410715423,0.052478661075624655,0.6979374248477791

3,current,10000,0.8858381817859547,0.8831460361024308,0.9577,99.67752039097533,9.983862999409363,7.060667562529292,0.7845583156631012,8.76205734458573,8.917354435322649

3,new_2026,12191,0.8551394608852247,0.8904383921546437,0.9830202608481666,144.78000241483318,12.032456208722856,6.474309031532527,0.7210640268617496,0.052478661075624655,0.7224427837552804

4,current,10000,0.8873868425887284,0.8844180752262935,0.9593,98.38647113029482,9.91899546981925,6.988294256743675,0.7873487725905199,8.76205734458573,8.774282656884063

4,new_2026,12191,0.8558161481200623,0.8904477182981237,0.983676482651136,143.92912266614584,11.997046414269882,6.424921630689536,0.7227033483617153,0.052478661075624655,0.5401925616843952

5,current,10000,0.8966507052462215,0.8924371325459428,0.962,94.04313691519182,9.69758407621155,6.984274515956122,0.7967363981581459,8.76205734458573,10.32681850436083

5,new_2026,12191,0.85726683124488,0.8915077811392814,0.9870396193913543,147.39443802225622,12.140611105799255,6.614561793282986,0.716027004288188,0.052478661075624655,1.7690826606916021

6,current,10000,0.918883452853763,0.9074341187684369,0.9673,72.04866290310666,8.48814837895207,6.017869284191298,0.8442749656173018,8.76205734458573,8.845390804591483

6,new_2026,12191,0.8571633984735774,0.8800106290101655,0.9867115084898695,147.99015384311565,12.1651203793105,6.239718531471067,0.7148792865824707,0.052478661075624655,-0.27197110145367537

7,current,10000,0.9188889982192734,0.9074595666649943,0.9674,72.06161368056492,8.488911218793898,6.019512341967449,0.8442469739768784,8.76205734458573,8.874933178990432

7,new_2026,12191,0.857074619070853,0.8800308527349174,0.9867115084898695,147.9700095113974,12.164292396658237,6.241350726756125,0.7149180970443946,0.052478661075624655,-0.25592301454566607
